name,province,location,scale,mode,concent,twist,beat_convert,beat_average,0,1,2,3,4,5,6,7,8,9,10,11,12
一下田来水又浑,湖北省,京山县,五声,徵调,0.38467741935483857,3.3854744332853977,0.7902762106705945,2.2033898305084745,0.016666666666666666,0.2833333333333333,0.0,0.23333333333333334,0.0,0.016666666666666666,0.0,0.0,0.16666666666666666,0.0,0.2833333333333333,0.0,0.0
一个蛤蟆一张嘴,湖北省,江陵县,五声,徵调,0.3942528735632185,3.65385493482137,0.7486213223636639,1.543859649122807,0.03389830508474576,0.22033898305084745,0.0,0.11864406779661017,0.0,0.13559322033898305,0.0,0.0,0.2033898305084746,0.0,0.288135593220339,0.0,0.0
一只船来抬下沟,湖北省,潜江县,五声,宫调,0.8127659574468082,2.6858153408312386,0.7097106707039927,2.341463414634146,0.023809523809523808,0.42857142857142855,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.38095238095238093,0.0,0.0,0.0,0.0
一张纸儿隔鸳鸯,湖北省,圻春县,五声,徵调,0.26797385620915015,3.4764031213934827,0.6992176524114556,1.5757575757575757,0.019801980198019802,0.18811881188118812,0.0,0.1782178217821782,0.0,0.19801980198019803,0.0,0.0,0.2376237623762376,0.0,0.1782178217821782,0.0,0.0
一把扇子二面花,湖北省,江陵县,五声,徵调,0.21935483870967754,2.3447678486721473,0.7451011885978978,1.8285714285714285,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0,0.17142857142857143,0.0,0.0,0.22857142857142856,0.0,0.17142857142857143,0.0,0.0
万年不准姐丢郎,湖北省,咸丰县,五声,徵调,0.40958904109589034,3.3444305473859575,0.615792291354835,2.5964912280701755,0.0,0.2807017543859649,0.0,0.2631578947368421,0.0,0.15789473684210525,0.0,0.0,0.12280701754385964,0.0,0.17543859649122806,0.0,0.0
东风吹来铜铃响,湖北省,沔阳县,五声,羽调,0.4095238095238094,2.317008710635314,0.45808172544590775,2.4150943396226414,0.0,0.16981132075471697,0.0,0.24528301886792453,0.0,0.03773584905660377,0.0,0.0,0.24528301886792453,0.0,0.3018867924528302,0.0,0.0
二十八宿闹昆阳,湖北省,荆门市,五声,徵调,0.4741935483870967,3.1969309072387975,0.6019175088830694,3.2,0.0,0.3,0.0,0.15,0.0,0.0,0.0,0.0,0.175,0.0,0.375,0.0,0.0
人人都想活千年,湖北省,洪湖县,五声,徵调,0.40233644859813084,2.350120744225276,0.8453607358178823,1.6119402985074627,0.0,0.23880597014925373,0.0,0.34328358208955223,0.0,0.16417910447761194,0.0,0.0,0.11940298507462686,0.0,0.13432835820895522,0.0,0.0
修堤硪歌响连天,湖北省,沙市市,五声,商调,0.3966666666666665,3.624955214501126,0.7818712903550304,1.853658536585366,0.0,0.17073170731707318,0.0,0.07317073170731707,0.0,0.3170731707317073,0.0,0.0,0.2682926829268293,0.0,0.17073170731707318,0.0,0.0
八字生来太刚强,湖北省,咸宁市,五声,徵调,0.3832858499525168,4.013983995060867,0.5447226960885417,2.5487364620938626,0.02120141342756184,0.1696113074204947,0.0,0.21201413427561838,0.0,0.09540636042402827,0.0,0.0,0.28975265017667845,0.0,0.21201413427561838,0.0,0.0
八顶花轿接歌郎,湖北省,崇阳县,五声,徵调,0.6642857142857145,3.170493598710765,0.8975274678557507,2.0,0.0,0.1388888888888889,0.0,0.25,0.0,0.05555555555555555,0.0,0.0,0.25,0.0,0.3055555555555556,0.0,0.0
六月采茶悬峰岭上坐,湖北省,宜昌县,五声,羽调,0.4271186440677964,3.6604851531691427,0.5874852244004856,3.6923076923076925,0.0,0.35384615384615387,0.0,0.06153846153846154,0.0,0.03076923076923077,0.0,0.0,0.2,0.0,0.35384615384615387,0.0,0.0
出艄,湖北省,巴东县,五声,羽调,0.02000000000000003,2.6758746476459385,0.8612007121842542,1.8181818181818181,0.13157894736842105,0.2894736842105263,0.0,0.13157894736842105,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.39473684210526316,0.0,0.0
刘海戏金蟾,湖北省,红安县,五声,徵调,0.35578947368421027,3.2318606221717823,0.4320719823324195,2.782608695652174,0.1038961038961039,0.33766233766233766,0.0,0.14285714285714285,0.0,0.1038961038961039,0.0,0.0,0.2077922077922078,0.0,0.1038961038961039,0.0,0.0
前头坡又陡,湖北省,宜昌县,五声,宫调,0.1561151079136693,6.99624786589756,0.6094494002200441,2.5,0.021834061135371178,0.314410480349345,0.0,0.17467248908296942,0.0,0.1615720524017467,0.0,0.0,0.17467248908296942,0.0,0.15283842794759825,0.0,0.0
十二月花名,湖北省,洪湖县,五声,商调,0.5047619047619046,2.8996140434816713,0.6373774391990982,1.7777777777777777,0.0,0.05555555555555555,0.0,0.3611111111111111,0.0,0.3333333333333333,0.0,0.0,0.08333333333333333,0.0,0.16666666666666666,0.0,0.0
十二月花神,湖北省,广济县,五声,徵调,0.40352112676056306,2.332405776232107,0.6972166887783963,1.5,0.0,0.20833333333333334,0.0,0.0625,0.0,0.22916666666666666,0.0,0.0,0.2708333333333333,0.0,0.22916666666666666,0.0,0.0
十字歌,湖北省,云梦县,五声,徵调,0.3238095238095237,2.102455627938103,0.5945717997012641,2.6666666666666665,0.0,0.20833333333333334,0.0,0.2708333333333333,0.0,0.14583333333333334,0.0,0.0,0.22916666666666666,0.0,0.14583333333333334,0.0,0.0
十把扇子,湖北省,黄梅县,五声,徵调,0.35421686746987946,2.532005909291715,0.5352617960506977,1.3076923076923077,0.0,0.2,0.0,0.09230769230769231,0.0,0.26153846153846155,0.0,0.0,0.26153846153846155,0.0,0.18461538461538463,0.0,0.0
