name,province,location,scale,mode,concent,twist,beat_convert,beat_average,0,1,2,3,4,5,6,7,8,9,10,11,12
夯歌,号子,东乡族自治县,六声,徵调,0.3563218390804598,4.212424452318089,0.5153882032022076,1.7777777777777777,0.0,0.26262626262626265,0.0,0.2828282828282828,0.0,0.06060606060606061,0.0707070707070707,0.0,0.12121212121212122,0.0,0.20202020202020202,0.0,0.0
什么上来一溜溜星,宴席曲,东乡族自治县,五声,徵调,0.45517241379310364,2.79134385638173,0.648074069840786,3.3333333333333335,0.12195121951219512,0.14634146341463414,0.0,0.24390243902439024,0.0,0.0,0.0,0.0,0.24390243902439024,0.0,0.24390243902439024,0.0,0.0
夯歌（一）,号子,积石山东乡族自治县,五声,宫调,0.4777777777777777,2.685930479686043,0.3535533905932738,2.6666666666666665,0.0,0.3125,0.0,0.16666666666666666,0.0,0.10416666666666667,0.0,0.0,0.1875,0.0,0.22916666666666666,0.0,0.0
尕新姐,小调,保安族；积石山东乡族自治县；撒拉族,五声,商调,0.4508474576271183,2.36811519259409,0.7416198487095664,2.6666666666666665,0.021739130434782608,0.10869565217391304,0.0,0.21739130434782608,0.0,0.15217391304347827,0.0,0.0,0.21739130434782608,0.0,0.2826086956521739,0.0,0.0
阿哥是个离乡的人,花儿,保安族；积石山东乡族自治县；撒拉族,六声,徵调,0.5041353383458644,3.02418854362085,0.6988677473697406,3.2289156626506026,0.03488372093023256,0.2441860465116279,0.0,0.18604651162790697,0.0,0.046511627906976744,0.03488372093023256,0.0,0.13953488372093023,0.0,0.313953488372093,0.0,0.0
白麦子,叶恩贝克·吉尔（劳动歌）,阿克塞哈萨克族自治县,燕乐,宫调,0.37636363636363646,2.5021019457520026,0.44031528592635544,2.3333333333333335,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.08333333333333333,0.16666666666666666,0.0,0.25,0.0,0.125,0.041666666666666664,0.0
哎勒迪宝贝,土尔木斯·萨勒特·吉尔（风俗歌）,阿克塞哈萨克族自治县,燕乐,宫调,0.20459770114942524,2.482576469809117,0.6132153437832746,1.8333333333333333,0.0,0.041666666666666664,0.0,0.22916666666666666,0.0,0.16666666666666666,0.14583333333333334,0.0,0.2916666666666667,0.0,0.10416666666666667,0.020833333333333332,0.0
啊拉吾拉咿勒姆,马克塔乌·吉尔（颂歌）,阿克塞哈萨克族自治县,清乐,羽调,0.2724489795918369,2.42318007819824,0.7271863585079138,2.5641025641025643,0.025,0.125,0.0,0.175,0.0,0.2,0.05,0.0,0.15,0.0,0.2,0.0,0.075
黑眼睛,马克塔乌·吉尔（颂歌）,阿克塞哈萨克族自治县,六声,宫调,0.4506493506493506,2.6867262312116598,0.7069905476390891,3.12,0.0196078431372549,0.1568627450980392,0.0,0.2549019607843137,0.0,0.19607843137254902,0.0784313725490196,0.0,0.29411764705882354,0.0,0.0,0.0,0.0
我的同龄人,马哈巴特·吉尔（情歌）,阿克塞哈萨克族自治县,六声,商调,0.23728070175438606,4.006376411091935,0.6041867402736286,3.625,0.015384615384615385,0.26153846153846155,0.0,0.15384615384615385,0.0,0.07692307692307693,0.0,0.0,0.09230769230769231,0.0,0.23076923076923078,0.0,0.16923076923076924
