name,province,location,scale,mode,concent,twist,beat_convert,beat_average,0,1,2,3,4,5,6,7,8,9,10,11,12
问月歌,海歌,防城县,五声,羽调,0.6474637681159422,6.117501139461573,0.9237341919630017,1.9789473684210523,0.020618556701030927,0.020618556701030927,0.0,0.20618556701030927,0.0,0.4329896907216495,0.0,0.0,0.07216494845360824,0.0,0.24742268041237114,0.0,0.0
送新娘,风俗歌,防城县,五声,宫调,0.4699570815450649,5.110224787661211,1.0996395429364765,2.0701754385964914,0.008695652173913044,0.19130434782608696,0.0,0.40869565217391307,0.0,0.12173913043478261,0.0,0.0,0.1826086956521739,0.0,0.08695652173913043,0.0,0.0
高粱煮甜酒,仡佬族民歌,隆林县,五声,徵调,0.3917582417582414,3.5394274748287495,0.6883104434342419,2.787878787878788,0.0,0.21212121212121213,0.0,0.15151515151515152,0.0,0.0,0.0,0.0,0.3484848484848485,0.0,0.2878787878787879,0.0,0.0
我是莲藕在塘里,仫佬族民歌,罗城县,五声,徵调,0.5752450980392153,3.192481596687469,0.7587005105809036,2.8666666666666667,0.1,0.15,0.0,0.24,0.0,0.11,0.0,0.0,0.24,0.0,0.16,0.0,0.0
你的情意似深海,侗族民歌,三江县,五声,羽调,0.3272727272727274,3.2470005384024163,0.5053682279561578,2.022727272727273,0.022222222222222223,0.34444444444444444,0.0,0.17777777777777778,0.0,0.13333333333333333,0.0,0.0,0.06666666666666667,0.0,0.25555555555555554,0.0,0.0
当初什么世间传,侗族民歌,龙胜县,五声,商调,0.38623188405797065,5.559272438631361,0.7066507529533059,2.8979591836734695,0.0392156862745098,0.38235294117647056,0.0,0.24509803921568626,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.30392156862745096,0.0,0.0
鱼网歌,侗族民歌,三江县,五声,羽调,0.31832669322709184,3.410715672158038,0.7351326588005088,3.337748344370861,0.03821656050955414,0.21656050955414013,0.0,0.33121019108280253,0.0,0.24203821656050956,0.0,0.0,0.03821656050955414,0.0,0.1337579617834395,0.0,0.0
宝宝快快睡,儿歌,大新县,五声,徵调,0.5039999999999999,2.477413717131866,1.1226110849435122,3.135135135135135,0.05128205128205128,0.2564102564102564,0.0,0.20512820512820512,0.0,0.02564102564102564,0.0,0.0,0.1794871794871795,0.0,0.28205128205128205,0.0,0.0
初会,小调,靖西县,五声,宫调,0.33555555555555555,3.8720765792663596,0.8334908483774267,2.090909090909091,0.0,0.36363636363636365,0.0,0.2727272727272727,0.0,0.1590909090909091,0.0,0.0,0.0,0.0,0.20454545454545456,0.0,0.0
大雨落纷纷,小调,平果县,七声,商调,0.3016949152542373,2.772218700465965,0.37597852266163,3.935483870967742,0.08823529411764706,0.11764705882352941,0.0,0.29411764705882354,0.0,0.058823529411764705,0.058823529411764705,0.08823529411764706,0.11764705882352941,0.0,0.17647058823529413,0.0,0.0
赶集路上把鞭扬,小调,靖西县,五声,宫调,0.39600000000000013,3.0321367289048937,0.7107228384715099,2.8444444444444446,0.0,0.13333333333333333,0.0,0.3111111111111111,0.0,0.35555555555555557,0.0,0.0,0.2,0.0,0.0,0.0,0.0
一杯淡酒敬情娘,山歌,南宁市,六声,羽调,0.40076502732240477,4.59167605495943,0.9708156097600841,1.7191011235955056,0.0273224043715847,0.07103825136612021,0.0,0.22404371584699453,0.0,0.18579234972677597,0.0,0.0,0.01092896174863388,0.0,0.24043715846994534,0.0,0.24043715846994534
八月谷子金灿灿,山歌,南丹市,五声,徵调,0.2749999999999999,3.6497360700422203,1.028960972904553,3.3191489361702127,0.09615384615384616,0.21153846153846154,0.0,0.038461538461538464,0.0,0.057692307692307696,0.0,0.0,0.28846153846153844,0.0,0.3076923076923077,0.0,0.0
十万山区好风光,山歌,防城县,六声,徵调,0.4481658692185009,3.0532425866162556,1.171459220143647,1.9090909090909092,0.011235955056179775,0.02247191011235955,0.0,0.24719101123595505,0.0,0.033707865168539325,0.0,0.0,0.2696629213483146,0.0,0.3595505617977528,0.0,0.056179775280898875
十月秋风凉嗖嗖,山歌,天等县,五声,商调,0.7267123287671237,2.9892795415202342,0.8801956253774091,4.484848484848484,0.0,0.0,0.0,0.3939393939393939,0.0,0.030303030303030304,0.0,0.0,0.30303030303030304,0.0,0.2727272727272727,0.0,0.0
