名称,省份,位置,音阶,调式,协和度,曲折度,节奏变化,平均音长,0,1,2,3,4,5,6,7,8,9,10,11,12
唱一首酒文散散心,江苏省,无锡市,五声,徵调,0.301204819,2.822088128,0.669477493,1.570093458,0,0.214953271,0,0.168224299,0,0.121495327,0,0,0.242990654,0,0.252336449,0,0
唱起山歌来拔草,江苏省,江宁县,五声,徵调,0.449193548,3.676771292,0.586442959,1.5,0,0.226190476,0,0.154761905,0,0.142857143,0,0,0.202380952,0,0.273809524,0,0
啥个到来乐融融,江苏省,武进市,五声,羽调,0.477659574,2.291153244,0.677964171,2.526315789,0,0.184210526,0,0.236842105,0,0.078947368,0,0,0.263157895,0,0.236842105,0,0
四季相思(二),江苏省,新沂市,六声,徵调,0.377256318,2.969810522,0.678383433,2.641509434,0,0.20754717,0,0.188679245,0,0.122641509,0.018867925,0,0.283018868,0,0.179245283,0,0
四绣白鹤天上飞,江苏省,盱眙县,七声,羽调,0.325641026,2.597816528,0.66614563,2.666666667,0.032258065,0.193548387,0.032258065,0.290322581,0,0,0.032258065,0,0.193548387,0,0.225806452,0,0
土夯号子,江苏省,太仓市,五声,商调,0.439090909,4.515431812,0.389187406,2.434782609,0.041666667,0.208333333,0,0.25,0,0.208333333,0,0,0.104166667,0,0.1875,0,0
夜夜想姐五更天,江苏省,宝应县,七声,商调,0.211428571,2.624887038,0.618640485,2.571428571,0,0,0.071428571,0.357142857,0,0,0.214285714,0,0.214285714,0,0.142857143,0,0
太平年,江苏省,扬州市,五声,羽调,0.231927711,2.770716789,0.694824159,2.24,0.038461538,0.179487179,0,0.192307692,0,0.141025641,0,0,0.205128205,0,0.243589744,0,0
太阳一出散沙沙,江苏省,兴化市,六声,徵调,0.542857143,3.744202894,0.643773597,1.578947368,0,0.355263158,0,0.039473684,0,0.144736842,0.026315789,0,0.105263158,0,0.328947368,0,0
太阳上来满地黄,江苏省,南京市,五声,羽调,0.4,2.65057435,0.782304289,1.612903226,0,0.161290323,0,0.129032258,0,0.258064516,0,0,0.225806452,0,0.225806452,0,0
太阳出山没多高,江苏省,兴化市,六声,宫调,0.318716578,3.525038843,0.736774134,1.413533835,0.007462687,0.246268657,0,0.171641791,0,0.141791045,0.007462687,0,0.223880597,0,0.201492537,0,0
