name,province,location,scale,mode,concent,twist,beat_convert,beat_average,0,1,2,3,4,5,6,7,8,9,10,11,12
打夯号子（二）,劳动歌,化隆回族自治县,五声,商调,0.5327731092436974,4.466770998405347,0.49356976316536155,1.9834710743801653,0.0,0.1487603305785124,0.0,0.1487603305785124,0.0,0.14049586776859505,0.0,0.0,0.2231404958677686,0.0,0.33884297520661155,0.0,0.0
五更绣荷包,宴席曲,大通回族土族自治县,五声,徵调,0.5778368794326235,5.415372822910943,0.7508343570322682,3.641025641025641,0.012658227848101266,0.13291139240506328,0.0,0.310126582278481,0.0,0.17721518987341772,0.0,0.0,0.14556962025316456,0.0,0.22151898734177214,0.0,0.0
十月怀胎（一）,宴席曲,大通回族土族自治县,五声,商调,0.5213740458015268,3.8236112600850936,0.612466149436598,3.3,0.024390243902439025,0.12195121951219512,0.0,0.4024390243902439,0.0,0.12195121951219512,0.0,0.0,0.12195121951219512,0.0,0.2073170731707317,0.0,0.0
孟姜女（一）,宴席曲,化隆回族自治县,七声,徵调,0.47761194029850734,2.3621718340019013,0.8357807199048718,2.0606060606060606,0.043478260869565216,0.14492753623188406,0.0,0.2318840579710145,0.0,0.043478260869565216,0.043478260869565216,0.028985507246376812,0.2608695652173913,0.0,0.2028985507246377,0.0,0.0
方四娘（一）,宴席曲,西宁市,六声,徵调,0.3790909090909092,2.4499440405668493,0.8394756623959398,1.696969696969697,0.0,0.16666666666666666,0.0,0.22727272727272727,0.0,0.0,0.07575757575757576,0.0,0.25757575757575757,0.0,0.2727272727272727,0.0,0.0
点兵,宴席曲,门源回族自治县,五声,商调,0.5920634920634917,2.674489580981616,0.6304450313072506,1.7777777777777777,0.0136986301369863,0.1095890410958904,0.0,0.3150684931506849,0.0,0.136986301369863,0.0,0.0,0.1917808219178082,0.0,0.2328767123287671,0.0,0.0
虎刺马,宴席曲,湟中县,五声,徵调,0.40392156862745093,2.5849229311253015,0.7960760367031642,1.7627118644067796,0.03278688524590164,0.09836065573770492,0.0,0.16393442622950818,0.0,0.26229508196721313,0.0,0.0,0.22950819672131148,0.0,0.21311475409836064,0.0,0.0
黄菊花,宴席曲,大通回族土族自治县,五声,徵调,0.48728813559321993,2.5872514256965795,0.5118050844261361,3.116883116883117,0.02531645569620253,0.10126582278481013,0.0,0.2911392405063291,0.0,0.06329113924050633,0.0,0.0,0.3037974683544304,0.0,0.21518987341772153,0.0,0.0
脚户哥,小调,化隆回族自治县,五声,羽调,0.42948717948717935,2.3960364643603334,0.6010407640085653,2.2222222222222223,0.0,0.2222222222222222,0.0,0.1388888888888889,0.0,0.2222222222222222,0.0,0.0,0.19444444444444445,0.0,0.2222222222222222,0.0,0.0
抬木号子,劳动歌,民和回族土族自治县,六声,羽调,0.5872340425531912,2.984137119424519,0.3142313151874658,1.5737704918032787,0.0,0.18032786885245902,0.0,0.0,0.0,0.0,0.0,0.0,0.5573770491803278,0.0,0.13114754098360656,0.13114754098360656,0.0
太阳光辉照遍了,婚礼曲,互助土族自治县,六声,羽调,0.1923333333333334,2.4265897477191234,0.5829830881301376,2.0,0.0,0.29411764705882354,0.0,0.17647058823529413,0.0,0.13725490196078433,0.0,0.0,0.11764705882352941,0.0196078431372549,0.2549019607843137,0.0,0.0
祝愿亲家晚年发,婚礼曲,民和回族土族自治县,五声,羽调,0.2963350785340316,4.962849362442766,0.5740426142248636,3.0551181102362204,0.045112781954887216,0.23308270676691728,0.0,0.10526315789473684,0.0,0.14285714285714285,0.0,0.0,0.18796992481203006,0.0,0.2857142857142857,0.0,0.0
迎喜曲（一）,婚礼曲,民和回族土族自治县,五声,羽调,0.4202380952380951,3.343955605106622,0.7520632776261045,3.142857142857143,0.034482758620689655,0.20689655172413793,0.0,0.22413793103448276,0.0,0.1896551724137931,0.0,0.0,0.10344827586206896,0.0,0.2413793103448276,0.0,0.0
民族政策闪金光,安召（歌舞曲）,互助回族自治县,五声,徵调,0.41470588235294126,3.0556488270801334,0.44617717789469463,1.7142857142857142,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.09523809523809523,0.0,0.0,0.38095238095238093,0.0,0.23809523809523808,0.0,0.0
七好比,宴席曲,民和回族土族自治县,五声,羽调,0.45078740157480335,2.4753566508479294,0.6251952819919548,3.5555555555555554,0.02702702702702703,0.14864864864864866,0.0,0.17567567567567569,0.0,0.16216216216216217,0.0,0.0,0.22972972972972974,0.0,0.25675675675675674,0.0,0.0
